saleid,parcelid,parcel_level_latitude,parcel_level_longitude
100817.0,1,32.9821,-86.9211
100818.0,1,33.0071,-86.9856
100819.0,1,32.9259,-87.0079
100820.0,1,33.0403,-87.0815
100825.0,1,33.1124,-87.2751
100828.0,1,33.0615,-87.231
100829.0,1,32.9906,-87.0254
100830.0,1,33.0282,-87.0262
100833.0,1,33.0009,-87.225
100844.0,1,33.077,-87.2466
100845.0,1,33.2117,-87.028
100846.0,1,33.0443,-87.2313
100849.0,1,32.9222,-87.0254
100854.0,1,32.8938,-86.9282
100856.0,1,32.8408,-86.9878
100857.0,1,32.963,-87.2526
100866.0,1,33.0309,-86.966
100870.0,1,33.0008,-86.9552
100873.0,1,33.0259,-86.9184
100875.0,1,33.1038,-87.2379
100876.0,1,33.0674,-87.238
100877.0,1,33.072,-87.236
100887.0,1,33.0763,-87.2509
100889.0,1,32.854,-86.9869
100890.0,1,32.9629,-87.257
100900.0,1,33.0675,-86.9497
100907.0,1,33.05,-86.9976
100908.0,1,32.9217,-87.0513
100920.0,1,33.0412,-87.0784
100922.0,1,32.8989,-87.2537
100925.0,1,33.1142,-87.2096
100928.0,1,33.1935,-87.0296
100929.0,1,33.0412,-87.2499
100936.0,1,33.0183,-87.272
100939.0,1,33.1071,-87.2616
100944.0,1,32.9995,-87.0077
100945.0,1,32.9236,-86.917
100946.0,1,33.0644,-87.2566
100947.0,1,32.9339,-86.9972
100948.0,1,33.1252,-87.2056
100949.0,1,33.0693,-87.2357
100951.0,1,32.8924,-87.2357
100952.0,1,33.0308,-87.0686
100953.0,1,33.0049,-87.0953
100959.0,1,32.9917,-87.0532
100963.0,1,33.0181,-87.2347
100971.0,1,33.0044,-87.2392
100972.0,1,32.8619,-86.9924
100976.0,1,32.9024,-86.9153
100977.0,1,32.9611,-86.9957
100980.0,1,32.9372,-87.0123
100985.0,1,33.0384,-86.9884
100987.0,1,33.0069,-86.9981
100989.0,1,32.9675,-86.9343
100991.0,1,32.9961,-87.0043
100993.0,1,32.8794,-87.2172
100999.0,1,32.9361,-87.0242
101003.0,1,32.9191,-86.9831
101004.0,1,33.1175,-87.1549
101007.0,1,32.9893,-87.039
101009.0,1,32.9133,-87.2546
101010.0,1,33.0239,-87.2815
101011.0,1,33.0536,-87.0822
101012.0,1,32.9296,-87.0316
101015.0,1,33.0584,-87.2505
101018.0,1,32.9311,-87.0041
